User profile
孤独的女人爱上了他 我在:http://t.cn/zRVlH0q
真悲哀啊，相亲相爱的好像都与我无关，太可笑了！ 我在:http://t.cn/zRVlH0q
我的黑夜只有我懂，我的泪为自已而流，开心的生活吧傻女人！ 我在:http://t.cn/zRqitdq
好人会得好报的！ 我在:http://t.cn/zRqitdq
眼泪流吧，是不是早流晚不是流，感谢上仓给我这个流泪的机会！ 我在:http://t.cn/zRqJHkE
今年年头有问题吗？ 我在:http://t.cn/zRGPHeH
该来的总会来，面对就好了！ 我在:http://t.cn/zRbCP35
冬季劲补 我在:http://t.cn/zRUnH1J
转发微博//@晶晶__芹菜:原来有些你自以为很重要的人，你不联系他，他就真的永远不会联系你。
今天我很不开心，因为那么一个不值得的人快点调整情绪吧！ 我在:http://t.cn/zR2A2QU
我是小小陶艺师！ 我在:http://t.cn/zR2A2QU
一个人开心的生活吧，人生不长好好对自己吧！ 我在:http://t.cn/zRA15GQ
离开一个对自己不好的人是对自已最好的保护！ 我在:http://t.cn/zRA1Luh
对自己好些今天很开心节日快乐！ 我在这里:http://t.cn/zQHaJeG
昨晚梦见我结婚[嘻嘻] 我在:http://t.cn/zRzNCLu
节日快乐！ 我在:http://t.cn/zRzNCLu
真的连哭的泪水都没有了！我该如何排泄我的愤怒！ 我在:http://t.cn/zRzt0d7
当生活中只有自己懂得自己的时候就是孤独寂寞的时候！ 我在:http://t.cn/zRzt0d7
想做什么就做什么吧！ 我在:http://t.cn/zRz2823
享受一个人的快乐吧！ 我在:http://t.cn/zRz2823
你开心吗? 我在:http://t.cn/z8mbY1u
这个中秋算开心! 我在:http://t.cn/z8nLesc
今晚我不哭! 我在:http://t.cn/z8R4GB3
今天过节大家都在干嘛? 我在:http://t.cn/z8RUcur
酒是苦的，喝到肚里是酸的，想大声的哭，可是没有了泪! 我在:http://t.cn/z8RUq4t
久违的关机! 我在:http://t.cn/z8Ry6Xf
其实我还是很想你们的，真的一看到你们的信息心里很舒服! 我在:http://t.cn/z8RAIzD
刚上来没来得及拍就这样了，旁边的老爷们直看我!! 我在:http://t.cn/z8RzUv4
空空的对面! 我在:http://t.cn/z8R7i1O
中午饭也没吃，饿着肚子干一天活! 我在:http://t.cn/z8RhuKh
又到节日了，一个人，还是一个人!晚歺吃豪华些! 我在:http://t.cn/z8Rhjeh
      被人误解的时候能微微的一笑，这是一种素养；受委屈的时候能坦然的一笑，这是一种大度；吃亏的时候能开心的一笑，这是一种豁达；无奈的时候能达观的一笑，这是一种境界；危难的时候能泰然一笑，这是一种大气；被轻蔑的时候能平静的一笑，这是一种自信； 我在:http://t.cn/z8QthzS
这一切都是自找的，活该啊，认识你是我这一生最大的错误! 我在:http://t.cn/z8QLb3a
工作了一天真累啊，连口饭都吃不上! 我在:http://t.cn/z8QL2ev
人家鱼虾吃着你却饿着肚子，看到你恶心的一面，什么都不想说! 我在:http://t.cn/z8Q2deD
儿子的欢乐时刻! 我在:http://t.cn/z8ldEn7
儿子获奖了! 我在:http://t.cn/z8Nrtsk
看这哥俩! 我在:http://t.cn/z8Nr4xC
[爱你] 我在:http://t.cn/z8NBRgB
看看这牙口! 我在:http://t.cn/z8NBHQF
今天我很开心! 我在:http://t.cn/z8KdIrA
昨晚失眠真难受啊! 我在:http://t.cn/z86VGv2
今天的痛苦也许是明天幸福的开始! 我在:http://t.cn/z8M7bBY
火烧的再快也需要时间! 我在:http://t.cn/z8f4t4r
我想问下我老头在哪? 我在:http://t.cn/z8fwL00
我的猪伱去哪啦，我让你回家! 我在:http://t.cn/z8f7U0X
我的猪去哪了! 我在:http://t.cn/z8fhMc3
18640835299这个号码我不能打，是我朋友就隨便打! 我在:http://t.cn/z8fhfzV
我不想在哭的时候給任何人打电话! 我在:http://t.cn/z8VD3k5
喜欢手指淡淡的烟草味! 我在:http://t.cn/z8VeGtu
学会抽烟，抽走寂寞! 我在:http://t.cn/z8Ve78d
烟头的热! 我在:http://t.cn/z8Vgkig
我在家，你在哪? 我在:http://t.cn/z8Vg52J
真想跟服务台说声谢谢，因为现在好像只有你关心我了! 我在:http://t.cn/z8VghTh
一个人哭了，笑了，笑了，哭了，就这样一个人下去也很好! 我在:http://t.cn/z8VrzCM
学会抽烟忘记你! 我在:http://t.cn/z8V1WAH
我想大声哭出来! 我在:http://t.cn/z8V1qNb
假如生活欺骗了你，你要怎样呢? 我在:http://t.cn/z8UquOk
得意的人不一定如意! 我在:http://t.cn/z8VuTGy
如果这个世界上两个人能相信你，一个是你，一个肯定是我！ 我在:http://t.cn/z8VuWjj
三年来我痛不欲生过，委屈至极过，烦恼众生，开心快乐，如今是该结束了，不要再见了，寻找自己的生活吧! 我在:http://t.cn/z8VnlRQ
允许自己最后一次喝醉，今晚痛痛快快喝一场吧，宣告单身啦，从此以后再也别为别人流泪，伤害自己了! 我在:http://t.cn/z8VR1AS
心有多软，壳就得有多硬! 我在:http://t.cn/z8VjS4h
安静! 我在:http://t.cn/z8VX0tP
为了一个不珍惜自己的人气坏身体太不值，开心起来! 我在:http://t.cn/z8c8UYY
一个人坚强的走下去! 我在:http://t.cn/z8clPbI
只有自已把自己当成公主一样生活! 我在:http://t.cn/z8G2bZH
廉价的东西都是不被人珍惜的! 我在:http://t.cn/z8G2Abu
兼价的东西都是不被人珍惜的! 我在:http://t.cn/z8G2Puh
想结束就结束吧! 我在:http://t.cn/z8GAQuv
今天晕倒很难受! 我在:http://t.cn/z8bxX4R
天冷了，希望心不要冷! 我在:http://t.cn/z8UquOk
没有信任还说什么? 我在:http://t.cn/z8y1o4V
一辈子有多长? 我在:http://t.cn/z87NAS3
闭嘴! 我在:http://t.cn/z8ho4jf
那么重要，谢谢你! 我在:http://t.cn/z8v1eJf
生活如果可以重来，我宁愿选择自自己! 我在:http://t.cn/z8vgbOd
我想念那些属于我的过去，可它们已是我遥不可及的未来! 我在:http://t.cn/z8v1ur9
再难都不怕，只要心贴心! 我在:http://t.cn/z8vuPSW
也许不残酷就不叫现实了! 我在:http://t.cn/z8vmqHh
夜深人不静! 我在:http://t.cn/z8vEZYr
换一个玲声换一种心情!下班了我不知道我要去哪,也不知道我能去哪,回不去的过去想也没用,与其这样没有自尊的活,不如自尊的一个人活着吧!
心再疼也要装做若无其事，放下一切，轻松面对新的生活！
活着到底是为了什么 ，爱别人到底能得到什么？
